日期,601398,601939,601288,601988,601658,601328,600036,600000,601166,601998,600016,601818,000001,600015,601169,601229,600919,601916,002142,601009,sys
2021-04-07,-0.55,-0.14,-0.3,-0.3,0.35,-1.23,1.1,0.47,1.69,-0.37,0.8,0.5,0.18,-0.16,-0.21,-0.46,0.78,-0.25,-0.85,-1.22,0.0
2021-04-08,0.18,-0.14,0.3,0.3,1.4,-0.0,-0.14,-0.09,0.09,0.74,-0.2,0.25,0.37,0.63,0.21,1.25,0.63,0.5,0.71,1.1,0.01
2021-04-09,0.37,0.97,-0.6,-0.3,1.24,0.41,0.5,0.66,0.17,-0.75,-0.0,0.75,1.21,-0.0,-0.0,1.27,1.74,0.5,0.51,1.01,0.02
2021-04-12,-1.11,-1.39,-1.19,-0.6,-0.36,-0.61,-0.42,-1.32,1.81,-0.0,-0.2,-0.0,2.82,-0.32,-0.21,-0.12,0.16,-0.0,1.34,1.23,-0.03
2021-04-13,-0.55,-0.82,0.29,0.3,-0.89,0.81,0.28,-0.28,1.05,0.19,-0.2,-0.25,-0.39,1.1,0.42,1.05,1.61,0.5,0.73,1.76,-0.0
2021-04-14,1.09,1.36,1.18,-0.0,0.18,0.82,1.23,1.58,3.94,0.74,0.4,1.26,0.53,0.32,0.21,1.41,0.33,0.25,-0.29,1.58,0.05
2021-04-15,-0.0,-0.28,-0.0,0.6,2.48,-0.0,0.52,1.51,3.87,-0.19,0.4,0.77,1.5,0.32,0.21,0.96,-0.99,0.25,-0.0,1.07,0.03
2021-04-16,0.37,-0.0,-0.0,-0.61,0.18,-0.62,-0.61,-1.05,-0.19,-1.12,-0.41,-0.51,0.49,-0.48,-0.21,-0.12,-0.65,-0.51,0.92,-0.22,-0.01
2021-04-19,-0.18,-0.14,-0.0,-0.0,0.73,-0.2,-4.08,-0.38,-0.67,0.37,-0.2,-0.77,-4.39,-0.48,-0.21,0.48,-2.58,-0.75,-3.5,0.11,-0.04
2021-04-20,0.92,1.38,0.6,0.3,-0.73,-0.41,-0.42,0.76,-1.43,-0.0,0.2,0.51,-2.55,0.48,0.21,0.12,0.79,0.25,-0.49,-2.49,0.01
2021-04-21,0.37,0.28,-0.0,-0.0,-2.19,-0.0,-1.73,-0.76,-3.14,-0.19,0.2,0.26,-6.09,-0.0,-0.0,-1.21,-3.17,-0.0,-4.56,-3.17,-0.04
2021-04-22,0.74,0.42,0.9,0.6,1.6,0.61,0.53,1.42,1.77,1.11,1.22,0.77,0.13,0.48,-0.0,1.08,1.23,-0.0,2.07,2.05,0.04
2021-04-23,0.75,0.56,1.21,0.61,0.18,-0.82,-1.31,-0.0,-1.2,0.38,0.21,-0.26,-1.35,0.16,0.21,-0.48,0.47,0.5,-1.24,0.21,0.0
